Interests,Stemmed Related Words
Trigonometry,trigonometr mathemat geometri trigonometr function astronomi geodesi survey navig triangul spheric geometri trig angl chord triangl spheric trigonometri math celesti mechan spheric calculu sine arithmet algebra similar algebra mathemat precalculu hypotenus ptolemi s tabl of chord euler s formula mnemon optic biolog nasir al din al tusi law of tangent pythagorean theorem measur sumer period function babylonian math nubia complex number euclid archimed hipparchu ptolemi almagest byzantin nicaea polymath law of sine law of cosin ancient greek greek languag germani unit circl geometr hellenist period analyt aryabhata formula comput geometri formal siev trigonometr function mathemat noncommut hydrodynam mechanist gener particl perturb hyperbol pipett cartesian
Complex Numbers,complex imaginari number field argument polynomi euler s formula complex analysi multivalu function topolog fundament theorem of algebra absolut valu gerolamo cardano electr current cubic equat real number order field number orient electromagnet turn field extens arg radian complex plane vector space quotient ring phasor polynomi ring electr engin order pair jean robert argand princip valu domain color nth root irreduc polynomi casu irreducibili algebra close field rafael bombelli william rowan hamilton hellenist mathemat involut complex conjug de moivr s formula carl friedrich gauss metric arctan algebra spinor matrix coeffici linear order indetermin ideal set vector multipl invers origin one dimension two dimension radiu ci electron complex logarithm amplitud quaternion quaternion ad pyramid atan mandelbrot set imaginari unit polynomi equat cubic equat ration number number line frustum
Algebra,algebra mathemat linear algebra arithmet geometri polynomi matrix quadrat equat graph vector arab languag abstract algebra field multipl linear equat algorithm ring function group math number theori group theori equat number algebra calculu variabl matrix algebra vector algebra theorem combinator trigonometri infinitesim calculu elementari algebra the compendi book on calcul by complet and balanc persian peopl quaternion logic diophantin equat algebra equat polynomi addit squar hero of alexandria analyt geometri algebra geometri divis subtract inequ constant transposit math physic engin permut survey e=mc construct quadrat busi account algebra associ boolean linear oper analyt mathemat commut equival finit planar area of mathemat diagram symmetr comput
Probability,probabl likelihood risk mathemat measur odd condit probabl chanc dice probabl theori event random likeli correl estim joint probabl gambl physic probabl axiom function statist infer christiaan huygen pierre simon laplac statist financ scienc qualiti amount quantiti philosophi experi etymolog author wit europ nobil possibl suscept varianc probabilist probabl expect exceed like variabl probabl hypothesi paramet paramet potenti equat calcul correspond theoret calcul impli hazard prospect occurr believ approxim cryptographi plausibl deviat eventu possibl well defin might calcul optim finit believ approxim veloc augustu de morgan measur
Linear Algebra,linear algebra matrix geometri mathemat line matrix multipl gaussian elimin kernel axiom linear equat function analysi vector space mathematician engin gottfri wilhelm leibniz plane rotat coordin determin geodesi basi physic mathemat model system of linear equat rené descart algorithm analyt geometri cartesian geometri cramer s rule algebra sequenc map isomorph abelian group isomorph quantum mechan invers imag gauss quaternion vector ident matrix telegraph manifold peano field equipol set element function biject rang geometr transform subset linear map imag nonlinear system cardin invert matrix dimens the nine chapter on the mathemat art algebra combinator trigonometri math mathemat calculu arithmet polynomi logarithm comput fortran bioinformat integr fractal enzymolog linguist
Differentiation,differenti special specialis distinct function demarc contrast discrimin differenti morphogenesi evolut heterogen mathemat adapt biolog line contradistinct oper adjust adapt secern word split hairsplit neuron neural inhibit matur correl activ somat suscept induc inhibit slope gene mammalian apoptosi metabol genet pathway mitochondri plastic inhibit replic comput inhibit differenti pathway fibroblast polar elong phenotyp distinguish homolog organ progress pattern mechan recombin analog progenitor mutat diversif reprogram linear reproduct aberr transloc causal cell exponenti protein related invers bacteri intrins
Vector,vector scalar radiu vector variabl carrier agent paramet vector product integ dimens transmitt mathemat size viru fauna creatur brute beast anim result ray genet microorgan vector direct micro organ cosmid finit discret equival matrix linear distanc tensor symmetr matric subset euclidean topolog invers multipl coeffici function tangent subspac invari probabl orthogon logarithm fourier formula formula formula denot convolut correspond dimension cartesian exponenti gener scalar topolog variabl formula hilbert formula algorithm function formula equat comput formula paramet nonzero project logarithm
Coordinate Geometry,coordin geometri axi slope project project intercept origin project project transform complex ellipsoid project sine gradient trace trace who central coordin curv grid key organ time rectangular circumscrib circumscrib slope matrix normal pythagora touch touch devi asterisk cradl miz mix mix point rack setup tune write place accent circl construct crown crown design equival face figur figur inscrib line place base problem pyramid sector side similar solid sphere squar survey tangent term theta vertex complement cla affin
Redox Reactions,redox reaction polarographi stoichiometri arous output oxid valu activ ac ca circulatori cr fraction frequenc g ionic oscillatori oxid ph photosynthet postul quotient revers synthes tc oxidation reduct charact catalysi equilibrium feedback ferment enzym feeler effect bomb dander exotherm chemistri bomb bomb acceler adr adrenalin biochemistri ae albumin aldehyd alkali allerg biochem allergi chemic anaphylaxi answer antihistamin antioxid approach ar behaviour asthma atom atom behavior batteri atp attitud autoclav backlash basic allergi disproportion biphas lytic degrad fibrinolyt valenc
Quantum Theory,quantum cosmolog rel electromagnet electrodynam boson supersymmetri subatom relativist thermodynam theoret qcd metaphys theori mathemat physic singular theorem fermion electroweak fractal heisenberg astrophys superconduct newtonian physicist quantiz phenomenolog lamarckian boltzmann feynman invari epistemolog equat phenomenolog combinator leibniz quark dynam theoret teleolog teleolog monism positivist hadron spectroscopi momentum einsteinian superstr graviton anthrop psychohistori abiogenesi poincar supersolid superfluid antiparticl incommensur axion macroevolut baryon antineutrino cosmolog rel theori quantum electrodynam quantum chromodynam heisenberg uncertainti principl cosmolog constant magnet monopol strang quark euclidean geometri quantum mechan gener rel quantum physic newtonian mechan photoelectr effect
Chemical Equilibrium,chemic equilibrium mechanochemistri molecular sulphion equilibr heterolysi equilibr phthalin tetrazon pentacid disassimil equilibr alkalamid tasimet enantiodromia rheotrop microcrith organotroph trisnitr monacid pyrochem logometr transamin deutoxid euglobulin biacid hydrodynamomet acidimetr sorbefaci diureid basyl balanc ureamet cytophotometri protoxid rheobas femtochemistri potassoxyl allomer anticatalyst lophin aerophil nicotidin tartronyl sulfurett equilibrium constant chemic equat chemic chang natur process gravimetr analysi elimin reaction equival weight kreb cycl critic point state of matter lewi base electrod potenti chemic bond chemic energi lewi acid intern energi doubl decomposit volumetr analysi metal bond phenol phthalein structur formula simpl harmon motion hyperfin structur vapour densiti haber process coordin compound atom weight industri process chemic phenomenon ideal ga
Ionic,ionic ion metal electrostat aqueou intramolecular paramagnet laminar steric intermolecular diamagnet diffus diatom electrochem piezoelectr electrophil organometal capillari dispers polymer radi exotherm magnon hygroscop hydrophil ferromagnet aliphat electrolyt conduct alkalin enzymat interfaci fermion oxid hydrophob metast silic dielectr oxid crystallin isotherm chiral thiol catalyt spheroid electromagnet coval electron adiabat hydrodynam nonconduct nonmagnet galvan nemat humect exciton electrokinet silicid adsorpt electrophoret dissip nonion dipolar immisc autocatalyt calorimetr alkan photoconduct bimolecular wettabl adsorb electrotherm ytterbium sorb erbium antiferromagnet
Surface Chemistry,surfac chemistri langmuir interfac flux effloresc interfac degrad molar chemic chain configur base wash form indic light precipit regulu stabil ring tin air air bead bead bloom bridg bridg bridg system cleav cleav cleav crack degre dope dope earth secondari ring gild gild invers lead lean venu mar mask normal precipit collodion flower iron nitrid precipit precipit sublim geochemistri test unitari ato atom compound condens critic digest displac equilibrium free free test indium ion isom lab member
Organic Chemistry,organ chemistri biochemistri polym organometal chemistri materi scienc chemistri carbon drug valenc organ compound petrochem plastic organ reaction natur product cholesterol total synthesi reactiv hydrocarbon hydrogen oxygen nitrogen sulfur phosphoru halogen metal organometal solvent fuel biochem soap fat alkali lanthanid urea urin agrichem quinin lubric dye pharmaceut aspirin bayer syphili chemotherapi vital diphtheria glucos coval bond function group chemic composit chemic formula physic properti petroleum chemic properti plastic organ synthesi conjug system adhes in silico databas mixtur chromatographi alicycl arsphenamin microbiolog pharmacolog biophys biolog immunolog electrochemistri neurobiolog parasitolog zoolog botani biologi enzymolog
Polymers,polym molecul monom polyethylen cellulos polystyren rubber dna polymer protein polypropylen copolym polyest compound macromolecul viscoelast silicon small molecul resin repeat unit biopolym lignin polyurethan elastom polyamid ribonucl acid resin plastic catalysi coat substrat polypeptid fiber microstructur dielectr membran nitrid electrod nanotub molecul adhes iupac nucleic acid thermoset semiconduct crystal of polym chemic extrud polym scienc amino acid polysaccharid nucleotid reptat styren polynucleotid polyethylen terephthal terephthal acid ethylen glycol cross link tough glass crystal biophys rna coval composit latex polym hemp shellac amber wool silk polyurethan trimer polymer
Biomolecules,biomolecul biochemistri polym molecul protein macromolecul carbohydr lipid nucleic acid rna transfer rna pentos polypeptid ribozym ion organ glucos metabolit nutrient biolog morphogenesi oxygen carbon hydrogen nitrogen endogeni exogeni ribos uridin adenosin guanosin phosphoryl kinas nucleotid dna biomet polymeras ribosom nucleobas biolog process deoxyribos phosphat cell divis cytidin development biolog cell thymidin small molecul secondari metabolit natur product molecular biolog organ reaction organ compound chemic element aldehyd hydrophil keton human bodi fructos metabol pathway base pair cell theori b dna evolut theori a dna galactos z dna sucros riboswitch malto lactos monosaccharid polysaccharid starch nanoscal nanoparticl
Metallurgy,metallurgi alloy metal metalwork smelt ore weld engin iron chemistri electropl gold steel mine powder metallurgi fabric ceram electrochemistri metal mineralog geolog geochemistri petrolog ore microbiolog machin pharmaceut silver petrochemistri copper enamel hydrogeolog oxid nativ metal varna superalloy technolog craft medicin debas rich pole scienc fagot fine faggot alchemist paleolith tin lead metallurg benefici serbia neolith oxygen papermak metallurgist ferrou bulgaria petrochem majdanpek miner priboj materi scienc agronomi plastic extract pločnik chemic element inter metal alloy nanoscal machineri bioengin fertilis stoneheng textil
Periodic Table,period tabl dmitri mendeleev metal atom number chemic element group hydrogen metalloid intern union of pure and appli chemistri nobl ga nonmet lanthanid ga d block solid liquid p block period state of matter standard condit for temperatur and pressur electron shell chemic properti quantum mechan atom caesium actinid oganesson electron configur proton oxygen niel bohr s block helium lutetium ytterbium neon group element richard feynman electron chemist fluorin gustavu detlef hinrich madelung rule alkali metal johann wolfgang döberein chlorin tabl halogen block nobl gase chemistri proton non meet neutron isotop francium radionuclid selenium electroneg actinid valenc radon period trend period tabl period relativist quantum chemistri atom orbit lanthanid nuclear reactor extend period tabl germanium f block dmitri mendeleev s predict element subatom boson mendeleev phlogiston
Dimensions,dimens sphere space time featur magnitud mathemat width concept cardin euclidean space vector space physic attribut proport properti plane spacetim length point three dimension charact shape breadth qualiti element depth paramet aspect event context perspect univers coordin compon distanc line scope electromagnet graviti m theori classic mechan vector minkowski space gener rel posit superstr theori manifold minkowski dimens hausdorff dimens induct dimens surfac cylind latitud longitud cube construct concept mark height form characterist thin tenuiti lineament slender thick tangent space observ dimens dimension tall infinit curv circl supergrav
Gravitation,gravit gener rel graviti mass albert einstein newton s law of univers gravit orbit earth univers weight moon uranu isaac newton gravit attract planet quantum mechan gravit forc virtual particl graviton physic coalesc rel matter electromagnet spacetim lean tower of pisa gener theori of rel aether electrodynam brownian neptun anthrop entropi cosmolog black hole mercuri supergrav fundament interact quantum graviti gravit singular big bang fals vacuum quantum vacuum gravit constant energi star galaxi tide drift travel trend movement attract drop fall forc sun proportion particl squar distanc galileo experi trajectori acceler comput kinemat cosmolog space fundament forc latin languag newtonian time quantum relativist heisenberg
Electrostatics,electrostat electron coulomb electr charg gradient physic newton triboelectr effect static test charg voltag proton oscillatori electromagnet coulomb s law electrochem intermolecular radi anisotrop hydrodynam steric diffus dielectr magnet capacitor electrostat discharg electr field amber forc irrot hydrogen atom gravit interfac resist meter amper second photocopi repuls gravit buffer resistor oscil centrifug excit classic physic dipol osmot relativist volt dipol ion time vari affin greek languag synchron pul noncommut indirect electron farad imped coupl armatur gaussian ioniz associ chelat macroscop modul commut modul invert monopol amplitud
Electricity,static electr energi lightn electr current power michael faraday magnet field electr motor electr conductor electr charg electron telecommun volt electr field heat electr engin insul hydropow gener electron electromagnet transistor electron copper semiconductor ground electr energi batteri integr circuit coulomb ga voltag transmiss util suppli hydroelectr electr gener power station electr util hydro grid fuel gener earth outlet box coal consumpt work flow water direct current altern current kilowatt sewerag irrig lpg outag turbin photovolta electr heat electrician coulomb s law machin electr potenti second industri revolut neuron ancient greek electr shock electr ray galvan thale of miletu light telecommun
Magnetic Field,tesla electr field magnet flux electr charg amper special rel quantum mechan electr motor magnet moment gauss surfac integr iron quantum electrodynam electromagnet meter newton ferromagnet spin synchrotron radiat vector field electromagnet forc metr hall effect electromot forc magnet monopol altern current magnetomot forc biot–savart law second faraday s law of induct magnet vector potenti maxwel s equat cross product vacuum magnet navig electromagnet compass colchest flux laplac electromechan electrodynam superconduct superconductor magnet magnetospher mino electroacoust muon nanoscal reson physicist tokamak hafnium atmospher neutron dirac spectroscop hydrid subatom fermion calorimet brahm boson bessi fledermau chiral nanotub cyclotron spectroscopi dixi diamagnet phonon synchrotron
Optics,len retina optic infrar photon laser perspect ocular eye oculu visual interfer diffract physic mirag light peeper focal length apertur huygens–fresnel principl fiber ultraviolet microwav coaxial wave fibre opt photographi microscop pariti refract electromagnet radiat quantum mechan quantum optic alhazen optic telescop fibr optic cornea greek philosophi optic visual percept telephoni zenith snell s law curv mirror magnifi glass optic microscop visual system refract telescop pinhol camera focu thoma young diopter augustin jean fresnel young s interfer experi wavelength ray trace ophthalm parabol reflector total intern reflect matter ray astronomi engin speed of light medicin optometri mirror mesopotamia quartz assyria face orb colloqui eyebal conjunctiva
Kinematics,cartesian coordin system veloc mechan system motion mechan robot kinemat lagrangian mechan acceler kinet astrophys robot biomechan engin classic mechan analyt dynam translat cinemat tangent celesti bodi speed mechan engin displac hydrodynam torsion dynam geometr thermodynam anisotrop oscillatori crystallograph extensor osseou axial sagitt isotrop coron dispers tibial anatom radial collinear talar variat planar trigonometr helic ulnar intramolecular topolog macromolecular adiabat lamellar vertebr rostral contralater steric crustal sinistr spheroid parametr paramagnet apic interfaci quadrat geometr inhomogen spheric acycl rapid human skeleton rigid transform physic quantiti rheolog tomograph flexur
Programming,programm plan curriculum schedul project system comput comput scienc servic platform syllabu broadcast polit program comput program cours of studi comput programm polit platform scheme packag show regim seri blueprint agenda softwar perform outlin initi fund project train plan work activ organ initi plan develop programm grant servic strategi research manag evalu financ support instruct inform command think subroutin playbil routin hack procedur function bill util translat schema info instal supervisor instal spreadsheet episod wander spider design parser serial promulg interpretstack push pop first in first out data structur queue enqueu abstract dequeu array tree link list graph depth first search breadth dynam program algorithm greedi kruskal prim djikstra divid and conquer brute forc mathemat recurs bubbl select sort insert backtrak queen knapsack travel salesman branch and bound decis tree shortest singl path binari search linear strassen dynam static file input output pointer polymorph encapsul function execut templat virtual bind oper overload friend aggreg constructor destructor hierarchi method namespac inherit toke data type variabl oop declar scope prototyp object class memori alloc composit handl
Machine Learning,machin data mine statist train data unsupervis learn comput vision supervis learn regress analysi infer statist model artifici intellig mathemat model mathemat optim arthur samuel semi supervis learn statist classif cluster analysi brain reinforc learn densiti estim connection probabl theori medic diagnosi overfit loss function algorithm featur heurist ibm disciplin internet genet algorithm discoveri branch of scienc comput system perceptron adalin sampl email filter gofai comput statist exploratori data analysi predict analyt bioinformat tom m mitchel oper definit backpropag alan ture matrix comput machineri and intellig rank discret number email spam boolean data type featur learn dimension reduct activ learn deep learn autonom vehicl topic model natur languag probabl densiti function meta learn induct bia development robot robot learn comput game neural network gener linear model tensor expert system induct logic program pattern recognit inform retriev comput scienc john hopfield
Artificial Intelligence,intellig go robot neurosci natur languag process psycholog comput scienc inform theori mathemat john mccarthi chess cybernet frankenstein machin learn artifici neural network alan ture expert system data mine machin percept knowledg represent autom plan and schedul logic machin alphago machin translat carnegi mellon univers game theori artifici gener intellig optic charact recognit cybernet cognit scienc optim herbert a simon moor s law comput vision speech recognit oper research reinforc learn marvin minski linguist philosophi algorithm heurist ontolog norbert wiener mind cognit watson ibm r u r `` jeopardi intellig agent ai effect natur languag understand econom autonom car ai winter inform retriev theori of comput dartmouth colleg technolog singular big data googl mari shelley karel čapek garri kasparov warren mccullouch walter pitt brad rutter ken jen allen newel probabl andrea kaplan humanoid util fifth gener comput
Networking,system web reseau commun broadcast mesh net meshwork reticul fabric channel internet onlin system websit cnn comput network mesh cloth commun reticulum tull scheme backbon electron reticul materi veil reticl superhighway comput net gauz textil network cabl snood sparker hairnet grillwork wirework graticul intercommun save al channel tv televis electron network medium satellit commun program broadband station servic mobil digit wireless entertain commerci connect oper radio link broadcast servic provid oper access phone provid oper connect segment busi
Computing,comput comput softwar comput scienc algorithm calcul process inform technolog figur cipher reckon inform comput hardwar comput program work out cypher data comput engin softwar engin associ for comput machineri mathemat multipli approxim subtract comput softwar gaug estim prorat interpol recalcul quantiz calcul number calcul function calcul estim invers visual inform system electr engin arithmet comput scientist integr circuit sourc code comput program synonym abstract capit fraction divid judg deduct integr add budget solv factor capitalis survey differenti averag guess extract resolv reason math math abacu babylon protocol killer applic transistor mosfet misestim
Database,data sql softwar inform relat databas metadata nosql user server digit databas model queri languag edgar f codd list spreadsheet directori dbm file file comput databas electron databas tabl map registri retriev repositori track bibliograph list templat profil code websit folder domain fingerprint codasyl acid xml comput network websit newsql relat model oracl databas object databas object rel imped mismatch object rel databas ibm system r row column multiprocessor kernel list info market book scalabl databas mysql xqueri searchabl web applic cobol applic comput onlin computer user embed googl classifi document search internet
Software,comput program data linux comput comput server comput scienc packag softwar system compil hardwar oper system program applic softwar packag programm softwar document inform compat softwar sharewar malwar freewar applic user tool groupwar desktop technolog system tool autom browser databas manag system function microsoft window comput hardwar enterpris programm databas app mainfram open sourc debug internet firmwar librari microsoft instruct softwar engin googl ibm programm rom machin code interpret algorithm assembl languag softwar develop procedur upgrad o routin spywar code subroutin dbm function cad document microprocessor informat integr develop environ interrupt comput program
Thermodynamics,entropi thermodynam thermodynam system energi temperatur heat law of thermodynam work pressur volum nicola léonard sadi carnot william thomson st baron kelvin chemic reaction intern energi thermodynam equilibrium steam engin dynam physic macroscop matter nonlinear scienc engin invari topolog hydrodynam statist mechan chemic engin mechan engin chemic thermodynam equat of state thermodynam potenti non equilibrium thermodynam radiat microscop thermodynam state meteorolog statist axiomat system surround equilibrium engin conduct william john macquorn rankin chemistri constant paramet equat dispers viscos flux rudolf clausiu quantum equival resist variabl econom stochast kinet dissip thermodynam approxim hamiltonian optim jame clerk maxwel poros stereochemistri measur finit flux crystal causal transform graviti
Communication,messag sign inform commun languag contact transmiss telecommun medium voic propaganda paralanguag persuas nonverb commun semiot system symbol sound interperson commun intercommun connect mail traffic signal touch document haptic commun interact commun network connect understand access bodi languag messag contact provid exchang link provid applic mean subject organ scienc visual braill olfactori signal substanc exhort content infect treatment remonstr discuss contagion public abstract expostul discours theatr theater suasion dramaturgi dramat post line channel medium deed test act vox examin
Environment,set surround ecolog situat field environ surround ambienc milieu habitat ambianc context area sphere background arena climat medium scene scope water cultur sustain condit ecolog develop natur atmospher natur ecosystem landscap health conserv sector physic chemic anim plant domain element part orbit circumst street home soil peopl environment environ resourc social develop econom world resourc creat magnet stabil urban conduc impact improv agricultur global chang chang govern need creat concern ensur infrastructur promot import energi
Psychology,physiolog scienc psychiatri neurobiolog neuropsycholog behaviour mind psychologist neurosci experiment psycholog gestalt psycholog cognit scienc linguist psychopatholog sociolog clinic psycholog biolog psychoanalysi development psycholog etholog human think emot psycholog scienc academ psych soul mental reinforc function psychophysiolog configuration psychonom abienc adienc anthropolog psycholog mathemat professor compar psycholog behavior econom sociolog biochemistri theolog physiolog psycholog cognit psycholog child psycholog scientif disciplin criminolog doctor pharmacolog psychoanalyt lectur behavior philosophi medicin attitud thesi psychometr phd introspect neurolog abnorm psycholog psychopharmacolog pinyin experi lev vygotski conscious feel percept cognit attent intellig phenomenolog
Integration,integr consolid desegreg merger incorpor combin amalgam combin integr implement integr converg unifi coordin particip unit compound central centralis oper aim framework strengthen promot strengthen stabil facilit develop cooper expand establish establish expand focu enhanc support aim transit innov initi improv broaden dynam transform transform acceler creation implement develop achiev wider coordin social liber enabl maintain strategi promot improv initi solut govern maintain progress emphasi creat creat econom develop approach integr expans effort relat implement
